Gene ID	Gene Name	log2foldchange	p-value
ENSG00000005156	LIG3	-0.1	0.020200676
ENSG00000005175	RPAP3	0.4	3.92E-05
ENSG00000005187	ACSM3	-0.9	0.002729656
ENSG00000005189	REXO5	0.1	0.100552506
ENSG00000005194	CIAPIN1	0.3	0.000188592
ENSG00000005206	SPPL2B	-0.3	2.66E-05
ENSG00000005238	FAM214B	-0.1	0.057111911
ENSG00000005243	COPZ2	0.3	0.004269209
ENSG00000005249	PRKAR2B	-0.7	2.25E-05
ENSG00000005302	MSL3	0.7	1.11E-05
ENSG00000005339	CREBBP	0.2	0.004100614
ENSG00000005379	TSPOAP1	-0.2	0.007063963
ENSG00000005381	MPO	-0.1	0.033536379
ENSG00000005421	PON1	-0.2	0.004860965
ENSG00000005436	GCFC2	0	0.745944951
ENSG00000005448	WDR54	0.4	5.26E-05
ENSG00000005469	CROT	0.3	0.008862071
ENSG00000005471	ABCB4	0.2	0.097222882
ENSG00000005483	KMT2E	0.5	4.08E-05
ENSG00000005486	RHBDD2	0.5	1.02E-07
ENSG00000005513	SOX8	0.1	0.466382727
ENSG00000005700	IBTK	0	0.743722877
ENSG00000005801	ZNF195	0.2	0.166160547
ENSG00000005810	MYCBP2	0.3	0.002109585
ENSG00000005812	FBXL3	0.2	0.000648548
ENSG00000005844	ITGAL	0.2	0.304997484
ENSG00000005882	PDK2	-0.5	2.09E-07
ENSG00000005889	ZFX	0.1	0.073133326
ENSG00000005893	LAMP2	0.1	0.371628166
ENSG00000005961	ITGA2B	-0.4	8.46E-09
ENSG00000005981	ASB4	-0.2	0.01977996
ENSG00000006007	GDE1	0.1	0.319541951
ENSG00000006015	REX1BD	0.4	1.48E-06
ENSG00000006016	CRLF1	0	0.699890413
ENSG00000006025	OSBPL7	0.1	0.432346425
ENSG00000006042	TMEM98	0.1	0.472237855
ENSG00000006047	YBX2	-0.4	1.16E-06
ENSG00000006059	KRT33A	-0.2	0.001335039
ENSG00000006062	MAP3K14	-0.2	0.112727849
ENSG00000006071	ABCC8	0.8	0.001837224
ENSG00000006116	CACNG3	-0.3	1.49E-06
ENSG00000006118	TMEM132A	0.5	5.01E-05
ENSG00000006125	AP2B1	0.5	1.12E-08
ENSG00000006128	TAC1	0	0.86229525
ENSG00000006194	ZNF263	0.3	3.52E-05
ENSG00000006210	CX3CL1	0.3	0.000690876
ENSG00000006282	SPATA20	0.1	0.050917258
ENSG00000006283	CACNA1G	-0.5	5.07E-07
ENSG00000006327	TNFRSF12A	0.5	0.002200014
ENSG00000006377	DLX6	-0.5	2.02E-07
ENSG00000006432	MAP3K9	-0.5	1.81E-07
ENSG00000006451	RALA	0.6	3.63E-07
ENSG00000006453	BAIAP2L1	1	0.000401738
ENSG00000006459	KDM7A	0.5	0.000127691
ENSG00000006468	ETV1	2.2	4.40E-12
ENSG00000006530	AGK	0.2	0.001633123
ENSG00000006534	ALDH3B1	-0.2	0.003691949
ENSG00000006555	TTC22	0.3	0.135818904
ENSG00000006576	PHTF2	1.3	1.20E-08
ENSG00000006606	CCL26	0.2	0.013111223
ENSG00000006607	FARP2	0.6	3.73E-05
ENSG00000006611	USH1C	0.2	0.415614657
ENSG00000006625	GGCT	0.1	0.014392116
ENSG00000006634	DBF4	0.5	0.000282782
ENSG00000006638	TBXA2R	-0.9	8.68E-08
ENSG00000006652	IFRD1	-0.9	6.48E-07
ENSG00000006659	LGALS14	-0.3	2.03E-05
ENSG00000006695	COX10	-0.4	3.25E-05
ENSG00000006695	COX10	-0.3	3.03E-06
ENSG00000006704	GTF2IRD1	0.7	3.92E-07
ENSG00000006712	PAF1	0	0.951024142
ENSG00000006715	VPS41	0.6	1.03E-10
ENSG00000006740	ARHGAP44	-0.1	0.558870444
ENSG00000006744	ELAC2	0.1	0.137113771
ENSG00000006747	SCIN	0.1	0.015941588
ENSG00000006756	ARSD	0	0.915772728
ENSG00000006757	PNPLA4	-0.4	2.97E-05
ENSG00000006788	MYH13	-0.5	4.12E-07
ENSG00000006831	ADIPOR2	0	0.80876297
ENSG00000006837	CDKL3	-0.2	0.000902714
ENSG00000007001	UPP2	-0.3	7.42E-07
ENSG00000007038	PRSS21	-0.4	0.022772123
ENSG00000007047	MARK4	0.3	3.27E-07
ENSG00000007062	PROM1	1.6	8.00E-06
ENSG00000007080	CCDC124	0.2	0.006504719
ENSG00000007129	CEACAM21	-0.4	6.60E-09
ENSG00000007168	PAFAH1B1	0.5	1.43E-05
ENSG00000007171	NOS2	-0.5	1.26E-06
ENSG00000007174	DNAH9	-0.6	1.86E-06
ENSG00000007202	KIAA0100	0.4	1.91E-06
ENSG00000007216	SLC13A2	-1	5.60E-08
ENSG00000007237	AC005747.1	0.7	8.39E-07
ENSG00000007255	TRAPPC6A	0.1	0.148929572
ENSG00000007264	MATK	-0.4	8.78E-09
ENSG00000007306	CEACAM7	1.8	1.35E-06
ENSG00000007312	CD79B	-0.4	0.043199017
ENSG00000007314	SCN4A	-0.5	2.31E-08
ENSG00000007341	ST7L	0	0.738898163
ENSG00000007350	TKTL1	-0.6	6.62E-08
ENSG00000007372	PAX6	0.5	0.009049156
ENSG00000007376	RPUSD1	-0.2	0.000630447
ENSG00000007384	RHBDF1	0.7	1.50E-08
ENSG00000007392	LUC7L	0.4	2.40E-07
ENSG00000007402	CACNA2D2	0	0.73576676
ENSG00000007516	BAIAP3	-0.5	6.18E-07
ENSG00000007520	TSR3	0.1	0.06739301
ENSG00000007541	PIGQ	-0.4	6.80E-05
ENSG00000007545	CRAMP1	0.3	3.85E-06
ENSG00000007866	TEAD3	0.5	3.75E-06
ENSG00000007908	SELE	0.4	0.112010774
ENSG00000007923	DNAJC11	-0.1	0.007535469
ENSG00000007933	FMO3	0.8	3.71E-08
ENSG00000007944	MYLIP	0.2	0.030206035
ENSG00000007952	NOX1	-0.4	1.28E-05
ENSG00000007968	E2F2	-0.4	1.58E-07
ENSG00000008018	PSMB1	0.4	3.11E-06
ENSG00000008056	SYN1	-0.3	1.83E-06
ENSG00000008083	JARID2	0.3	0.000911352
ENSG00000008086	CDKL5	0.7	2.98E-06
ENSG00000008118	CAMK1G	-0.4	2.72E-06
ENSG00000008130	NADK	0.1	0.175783149
ENSG00000008196	TFAP2B	-0.4	4.09E-06
ENSG00000008197	TFAP2D	-0.4	1.03E-07
ENSG00000008226	DLEC1	-0.4	7.98E-08
ENSG00000008256	CYTH3	0.9	3.57E-10
ENSG00000008277	ADAM22	1.2	1.69E-08
ENSG00000008282	SYPL1	0.2	0.008241303
ENSG00000008283	CYB561	-0.3	0.000221858
ENSG00000008294	SPAG9	0	0.608173733
ENSG00000008300	CELSR3	0.1	0.150669181
ENSG00000008311	AASS	-0.1	0.35712537
ENSG00000008323	PLEKHG6	-0.3	0.018689203
ENSG00000008324	SS18L2	0.1	0.128206604
ENSG00000008382	MPND	-0.6	1.14E-08
ENSG00000008394	MGST1	-0.1	0.742248506
ENSG00000008405	CRY1	0.7	0.000141077
ENSG00000008438	PGLYRP1	-0.5	1.53E-07
ENSG00000008441	NFIX	0.6	2.97E-07
ENSG00000008513	ST3GAL1	1.1	3.09E-09
ENSG00000008516	MMP25	-0.5	2.60E-08
ENSG00000008517	IL32	0.1	0.536543216
ENSG00000008710	PKD1	-0.6	4.57E-06
ENSG00000008735	MAPK8IP2	-0.4	7.51E-06
ENSG00000008838	MED24	0.3	0.001380592
ENSG00000008853	RHOBTB2	-0.3	6.76E-05
ENSG00000008869	HEATR5B	0	0.951774684
ENSG00000008952	SEC62	0.1	0.014604847
ENSG00000008988	RPS20	0.2	0.000995563
ENSG00000009307	CSDE1	-0.2	0.00011238
ENSG00000009335	UBE3C	0.3	1.23E-05
ENSG00000009413	REV3L	0.1	0.082287242
ENSG00000009694	TENM1	-0.3	3.58E-05
ENSG00000009709	PAX7	-0.3	1.06E-05
ENSG00000009724	MASP2	-0.4	2.20E-07
ENSG00000009765	IYD	0	0.866063102
ENSG00000009780	FAM76A	0.3	0.000111095
ENSG00000009790	TRAF3IP3	0.3	0.12797858
ENSG00000009830	POMT2	0.1	0.042001928
ENSG00000009844	VTA1	0.2	0.002002139
ENSG00000009950	MLXIPL	-0.6	4.68E-07
ENSG00000009954	BAZ1B	0.6	3.13E-07
ENSG00000010017	RANBP9	0.4	7.42E-10
ENSG00000010030	ETV7	-0.4	4.98E-06
ENSG00000010072	SPRTN	0.4	0.000420381
ENSG00000010165	EEF1AKNMT	0.3	6.56E-05
ENSG00000010219	DYRK4	0.1	0.000910618
ENSG00000010244	ZNF207	0.5	8.73E-07
ENSG00000010256	UQCRC1	0	0.821476168
ENSG00000010270	STARD3NL	0.5	2.19E-07
ENSG00000010278	CD9	1.4	1.84E-10
ENSG00000010282	HHATL	-0.4	8.59E-06
ENSG00000010292	NCAPD2	0.4	0.000317974
ENSG00000010295	IFFO1	0.5	1.39E-07
ENSG00000010310	GIPR	-0.1	0.017039504
ENSG00000010318	PHF7	-0.6	4.04E-08
ENSG00000010319	SEMA3G	-0.2	0.148964664
ENSG00000010322	NISCH	0.7	1.76E-10
ENSG00000010327	STAB1	0	0.676591916
ENSG00000010361	FUZ	-0.3	0.000550948
ENSG00000010379	SLC6A13	-0.5	2.72E-08
ENSG00000010404	IDS	0.2	9.47E-05
ENSG00000010438	PRSS3	-1.4	0.007727057
ENSG00000010539	ZNF200	0.6	1.86E-05
ENSG00000010610	CD4	0.8	2.38E-05
ENSG00000010626	LRRC23	-0.1	0.069779253
ENSG00000010671	BTK	0.5	0.003496507
ENSG00000010704	HFE	-0.4	3.59E-06
ENSG00000010803	SCMH1	-0.2	0.00282651
ENSG00000010810	FYN	1	1.35E-05
ENSG00000010818	HIVEP2	0.4	2.33E-05
ENSG00000010932	FMO1	1.5	3.42E-08
ENSG00000011007	ELOA	-0.4	8.29E-07
ENSG00000011009	LYPLA2	-0.1	0.025146575
ENSG00000011021	CLCN6	0.2	0.000208635
ENSG00000011028	MRC2	1.4	7.29E-11
ENSG00000011083	SLC6A7	-0.3	1.71E-05
ENSG00000011105	TSPAN9	0.4	2.82E-05
ENSG00000011114	BTBD7	0.3	3.92E-05
ENSG00000011132	APBA3	0.4	2.35E-05
ENSG00000011143	MKS1	-0.2	0.000293605
ENSG00000011198	ABHD5	0.1	0.224978297
ENSG00000011201	ANOS1	2	7.81E-12
ENSG00000011243	AKAP8L	-0.4	2.09E-05
ENSG00000011258	MBTD1	0	0.451144614
ENSG00000011260	UTP18	0.3	0.000126267
ENSG00000011275	RNF216	-0.1	0.07074186
ENSG00000011295	TTC19	-0.2	0.000105966
ENSG00000011304	PTBP1	0.3	7.05E-06
ENSG00000011332	DPF1	-0.4	1.06E-07
ENSG00000011347	SYT7	-0.4	7.59E-07
ENSG00000011376	LARS2	0	0.535112498
ENSG00000011405	PIK3C2A	0.2	0.01647261
ENSG00000011422	PLAUR	1.9	1.33E-09
ENSG00000011426	ANLN	1.3	4.47E-07
ENSG00000011451	WIZ	0.2	1.65E-06
ENSG00000011454	RABGAP1	0.4	6.23E-08
ENSG00000011465	DCN	1.4	1.30E-08
ENSG00000011478	QPCTL	-0.3	9.40E-06
ENSG00000011485	PPP5C	0.1	0.039113887
ENSG00000011523	CEP68	0.1	0.240013518
ENSG00000011566	MAP4K3	0.3	0.000368201
ENSG00000011590	ZBTB32	-0.4	6.26E-07
ENSG00000011600	TYROBP	1.9	2.00E-07
ENSG00000011638	TMEM159	0.6	3.01E-10
ENSG00000011677	GABRA3	-0.5	2.39E-07
ENSG00000012048	BRCA1	-0.2	0.005466756
ENSG00000012061	ERCC1	0	0.490714051
ENSG00000012124	CD22	-0.4	0.009418121
ENSG00000012171	SEMA3B	-0.2	0.248792214
ENSG00000012174	MBTPS2	0.5	6.76E-09
ENSG00000012211	PRICKLE3	-0.1	0.198340346
ENSG00000012223	LTF	0.3	0.175493552
ENSG00000012232	EXTL3	-0.3	0.000125118
ENSG00000012504	NR1H4	-0.1	0.604945589
ENSG00000012660	ELOVL5	1.6	4.50E-08
ENSG00000012779	ALOX5	1.5	2.36E-07
ENSG00000012817	KDM5D	-0.2	0.004148507
ENSG00000012822	CALCOCO1	0	0.504830433
ENSG00000012963	UBR7	0.1	0.075550376
ENSG00000012983	MAP4K5	0.9	6.87E-09
ENSG00000013016	EHD3	0.1	0.074920599
ENSG00000013275	PSMC4	0.5	2.07E-07
ENSG00000013288	MAN2B2	0.2	4.45E-05
ENSG00000013293	SLC7A14	-0.2	0.000281337
ENSG00000013297	CLDN11	2.5	1.56E-09
ENSG00000013306	SLC25A39	-0.2	0.004577104
ENSG00000013364	MVP	1.1	8.76E-08
ENSG00000013374	NUB1	0.2	0.023840523
ENSG00000013375	PGM3	-0.8	9.28E-06
ENSG00000013392	RWDD2A	-0.3	0.022341563
ENSG00000013441	CLK1	0.2	0.010258662
ENSG00000013503	POLR3B	-0.1	0.23281736
ENSG00000013523	ANGEL1	-0.6	9.50E-06
ENSG00000013561	RNF14	0.3	0.000440931
ENSG00000013563	DNASE1L1	0.4	3.73E-07
ENSG00000013573	DDX11	0	0.459910685
ENSG00000013583	HEBP1	-0.6	9.20E-07
ENSG00000013588	GPRC5A	3	3.85E-10
ENSG00000013619	MAMLD1	0	0.98974467
ENSG00000013725	CD6	0	0.735818513
ENSG00000013810	TACC3	0.5	6.60E-05
ENSG00000014123	UFL1	-0.2	0.001028677
ENSG00000014138	POLA2	-0.2	0.000444218
ENSG00000014164	ZC3H3	0.1	0.028140214
ENSG00000014216	CAPN1	0.5	3.34E-08
ENSG00000014257	ACPP	-0.1	0.080330592
ENSG00000014641	MDH1	0.4	0.000546951
ENSG00000014824	SLC30A9	0	0.507725911
ENSG00000014914	MTMR11	0.6	1.10E-05
ENSG00000014919	COX15	0.1	0.08002133
ENSG00000015133	CCDC88C	-0.3	0.000428694
ENSG00000015153	YAF2	0.2	0.004788627
ENSG00000015171	ZMYND11	-0.1	0.073898093
ENSG00000015285	WAS	-0.2	7.59E-05
ENSG00000015413	DPEP1	-1.3	3.91E-06
ENSG00000015475	BID	0.8	2.45E-06
ENSG00000015520	NPC1L1	0	0.878196931
ENSG00000015532	XYLT2	0	0.999672673
ENSG00000015568	RGPD5	0.6	3.27E-06
ENSG00000015592	STMN4	-0.4	1.25E-07
ENSG00000015676	NUDCD3	0.4	5.86E-10
ENSG00000016082	ISL1	0.9	1.92E-05
ENSG00000016391	CHDH	-0.2	0.170089038
ENSG00000016402	IL20RA	0.2	0.23509612
ENSG00000016490	CLCA1	-1	0.027895711
ENSG00000016602	CLCA4	-0.1	0.711892224
ENSG00000016864	GLT8D1	0.2	0.000152388
ENSG00000017260	ATP2C1	0.8	1.63E-09
ENSG00000017427	IGF1	0.9	0.012252793
ENSG00000017483	SLC38A5	-1.2	6.56E-05
ENSG00000017797	RALBP1	0.7	1.22E-08
ENSG00000018189	RUFY3	0.9	2.98E-08
ENSG00000018236	CNTN1	0.5	2.70E-05
ENSG00000018280	SLC11A1	-0.3	0.002766495
ENSG00000018408	WWTR1	1	2.35E-08
ENSG00000018510	AGPS	0.3	9.39E-05
ENSG00000018610	CXorf56	0.1	0.009784149
ENSG00000018625	ATP1A2	-0.3	0.144257202
ENSG00000018699	TTC27	0.1	0.163242046
ENSG00000018869	ZNF582	-0.3	1.06E-06
ENSG00000019102	VSIG2	0.8	0.003086836
ENSG00000019144	PHLDB1	0.2	0.007137816
ENSG00000019169	MARCO	0.3	0.195519933
ENSG00000019186	CYP24A1	0.3	0.043754737
ENSG00000019485	PRDM11	-0.2	0.001166213
ENSG00000019505	SYT13	1.5	3.05E-07
ENSG00000019549	SNAI2	1.7	2.98E-09
ENSG00000019582	CD74	1.5	1.99E-06
ENSG00000019991	HGF	0.2	0.006652538
ENSG00000019995	ZRANB1	0.2	0.000770621
ENSG00000020129	NCDN	-0.6	6.43E-07
ENSG00000020181	ADGRA2	1.1	4.11E-10
ENSG00000020256	ZFP64	0.4	8.28E-06
ENSG00000020426	MNAT1	0.5	3.45E-08
ENSG00000020577	SAMD4A	0.6	0.003328529
ENSG00000020633	RUNX3	-0.7	5.32E-08
ENSG00000020922	MRE11	0.5	2.59E-06
ENSG00000021300	PLEKHB1	0	0.892688615
ENSG00000021355	SERPINB1	-0.3	0.027390013
ENSG00000021461	CYP3A43	-0.2	0.039829247
ENSG00000021488	SLC7A9	-0.7	0.010731519
ENSG00000021574	SPAST	0.7	1.11E-06
ENSG00000021645	NRXN3	-0.4	0.021476194
ENSG00000021762	OSBPL5	-0.2	0.001167738
ENSG00000021776	AQR	0.2	0.00027691
ENSG00000021826	CPS1	0.2	0.706150186
ENSG00000021852	C8B	-0.3	0.000322388
ENSG00000022267	FHL1	0.2	0.416996522
ENSG00000022277	RTF2	0.5	2.86E-07
ENSG00000022355	GABRA1	-0.5	8.26E-08
ENSG00000022556	NLRP2	0.5	0.003498097
ENSG00000022567	SLC45A4	0.4	1.05E-06
ENSG00000022840	RNF10	-0.1	0.017387144
ENSG00000022976	ZNF839	-0.2	0.002838366
ENSG00000023041	ZDHHC6	0.5	0.000113724
ENSG00000023171	GRAMD1B	0.1	0.339855477
ENSG00000023191	RNH1	0.4	5.08E-08
ENSG00000023228	NDUFS1	0.2	0.025571989
ENSG00000023287	RB1CC1	0	0.936944756
ENSG00000023318	ERP44	-0.3	9.74E-05
ENSG00000023330	ALAS1	0.6	0.000259369
ENSG00000023445	BIRC3	1.4	1.57E-05
ENSG00000023516	AKAP11	0.7	9.45E-08
ENSG00000023572	GLRX2	0.5	1.94E-06
ENSG00000023608	SNAPC1	0.9	1.11E-08
ENSG00000023697	DERA	0.3	0.000734153
ENSG00000023734	STRAP	0	0.353211993
ENSG00000023839	ABCC2	-1	1.63E-07
ENSG00000023892	DEF6	-0.1	0.114856907
ENSG00000023902	PLEKHO1	0.6	0.000257397
ENSG00000023909	GCLM	0.2	0.258999771
ENSG00000024048	UBR2	-0.3	1.33E-05
ENSG00000024422	EHD2	0.4	3.35E-06
ENSG00000024526	DEPDC1	0.5	0.000497152
ENSG00000024862	CCDC28A	0	0.806458629
ENSG00000025039	RRAGD	0	0.925428974
ENSG00000025156	HSF2	0.3	0.004413544
ENSG00000025293	PHF20	1	1.04E-07
ENSG00000025423	HSD17B6	1	9.54E-05
ENSG00000025434	NR1H3	0.2	0.116500004
ENSG00000025708	TYMP	0.7	1.00E-06
ENSG00000025770	NCAPH2	-0.5	1.02E-06
ENSG00000025772	TOMM34	0.1	0.238204145
ENSG00000025796	SEC63	-0.5	1.33E-05
ENSG00000025800	KPNA6	0	0.402704831
ENSG00000026025	VIM	0.9	1.50E-08
ENSG00000026103	FAS	1.3	5.45E-08
ENSG00000026297	RNASET2	0.1	0.230616117
ENSG00000026508	CD44	0.5	1.95E-05
ENSG00000026559	KCNG1	-0.5	2.30E-07
ENSG00000026652	AGPAT4	0.5	3.47E-06
ENSG00000026652	AGPAT4	-0.1	0.458671769
ENSG00000026751	SLAMF7	0.8	0.022966474
ENSG00000026950	BTN3A1	0.4	0.000514178
ENSG00000027001	MIPEP	0.1	0.027444143
ENSG00000027075	PRKCH	0.5	0.0007384
ENSG00000027644	INSRR	-0.4	4.17E-06
ENSG00000027697	IFNGR1	0.8	7.88E-06
ENSG00000027847	B4GALT7	0.2	0.000361061
ENSG00000027869	SH2D2A	0	0.887049395
ENSG00000028116	VRK2	0.2	0.000444346
ENSG00000028137	TNFRSF1B	0.8	0.000147432
ENSG00000028203	VEZT	0.6	1.61E-10
ENSG00000028277	POU2F2	-0.2	0.000728452
ENSG00000028310	BRD9	0.1	0.083236741
ENSG00000028528	SNX1	0.3	7.23E-05
ENSG00000028839	TBPL1	0.4	7.01E-05
ENSG00000029153	ARNTL2	0.8	1.12E-05
ENSG00000029363	BCLAF1	0.1	0.011521278
ENSG00000029364	SLC39A9	-0.1	0.025721907
ENSG00000029534	ANK1	-0.4	1.00E-05
ENSG00000029559	IBSP	-0.2	0.012565246
ENSG00000029639	TFB1M	0.4	0.000103258
ENSG00000029725	RABEP1	0	0.711895134
ENSG00000029993	HMGB3	0.4	0.000328688
ENSG00000030066	NUP160	0.5	7.13E-06
ENSG00000030110	BAK1	0	0.75573715
ENSG00000030304	MUSK	-0.3	7.84E-06
ENSG00000030419	IKZF2	1	7.78E-07
ENSG00000030582	GRN	0.9	7.63E-09
ENSG00000031003	FAM13B	0.5	0.000101468
ENSG00000031081	ARHGAP31	0.7	6.79E-07
ENSG00000031691	CENPQ	0.3	4.08E-05
ENSG00000031698	SARS1	-0.1	0.007912224
ENSG00000031823	RANBP3	0	0.432823377
ENSG00000032219	ARID4A	0.3	0.003612708
ENSG00000032389	EIPR1	0.1	0.21664714
ENSG00000032444	PNPLA6	0.5	2.25E-07
ENSG00000032742	IFT88	0.3	1.67E-06
ENSG00000033011	ALG1	-0.1	0.227463852
ENSG00000033030	ZCCHC8	0.2	0.014008148
ENSG00000033050	ABCF2	0.2	0.007097492
ENSG00000033122	LRRC7	-0.2	6.63E-05
ENSG00000033170	FUT8	0.6	9.68E-07
ENSG00000033178	UBA6	1	1.70E-07
ENSG00000033327	GAB2	0.6	4.55E-06
ENSG00000033627	ATP6V0A1	0.2	0.02470196
ENSG00000033800	PIAS1	0.4	7.22E-05
ENSG00000033867	SLC4A7	0.4	0.07946801
ENSG00000034053	APBA2	0	0.632105031
ENSG00000034152	MAP2K3	-0.2	0.007347889
ENSG00000034239	EFCAB1	-0.2	0.000591572
ENSG00000034510	TMSB10	1.4	1.51E-09
ENSG00000034533	ASTE1	0.1	0.336043339
ENSG00000034677	RNF19A	0.3	0.000523864
ENSG00000034693	PEX3	0.2	0.024819974
ENSG00000034713	GABARAPL2	0.6	4.40E-08
ENSG00000034971	MYOC	-0.8	5.31E-07
ENSG00000035115	SH3YL1	-0.5	0.002214449
ENSG00000035141	FAM136A	-0.3	3.37E-05
ENSG00000035403	VCL	1	2.58E-09
ENSG00000035499	DEPDC1B	0.6	0.001666559
ENSG00000035664	DAPK2	-0.5	1.22E-06
ENSG00000035681	NSMAF	0.2	0.000224614
ENSG00000035687	ADSS2	0.7	2.52E-07
ENSG00000035720	STAP1	0	0.991546464
ENSG00000035862	TIMP2	1.4	3.17E-11
ENSG00000035928	RFC1	-0.3	2.96E-05
ENSG00000036054	TBC1D23	0.2	0.000677119
ENSG00000036257	CUL3	0.1	0.006538043
ENSG00000036448	MYOM2	-0.5	1.44E-08
ENSG00000036473	OTC	-1.2	5.77E-06
ENSG00000036530	CYP46A1	-0.7	1.23E-06
ENSG00000036549	AC118549.1	0.2	2.10E-05
ENSG00000036565	SLC18A1	-0.4	4.61E-08
ENSG00000036672	USP2	-0.9	1.47E-06
ENSG00000036828	CASR	-0.3	0.004668137
ENSG00000037042	TUBG2	0.1	0.244961918
ENSG00000037280	FLT4	-0.4	3.62E-07
ENSG00000037474	NSUN2	0.4	1.85E-05
ENSG00000037637	FBXO42	0	0.670338508
ENSG00000037749	MFAP3	-0.5	6.70E-08
ENSG00000037757	MRI1	0.5	4.17E-08
ENSG00000037897	METTL1	-0.2	0.013129594
ENSG00000037965	HOXC8	-0.5	4.63E-08
ENSG00000038002	AGA	-0.5	1.93E-06
ENSG00000038210	PI4K2B	-0.1	0.526836119
ENSG00000038219	BOD1L1	0.6	4.09E-06
ENSG00000038274	MAT2B	0.6	5.97E-05
ENSG00000038295	TLL1	0	0.209398041
ENSG00000038382	TRIO	0.7	4.63E-09
ENSG00000038427	VCAN	3.7	1.01E-12
ENSG00000038532	CLEC16A	0.1	0.179189319
ENSG00000038945	MSR1	2.1	5.42E-09
ENSG00000039068	CDH1	0.4	0.075296266
ENSG00000039123	MTREX	0.1	0.056407745
ENSG00000039139	DNAH5	0.5	4.49E-06
ENSG00000039319	ZFYVE16	0.7	6.05E-08
ENSG00000039523	RIPOR1	0	0.989775758
ENSG00000039537	C6	-0.2	0.466031334
ENSG00000039560	RAI14	1.4	1.29E-09
